"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"4º trimestre 2020","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-2.8"
"4º trimestre 2020","Brasil","Construção","2.0"
"4º trimestre 2020","Brasil","Serviços - total","-1.4"
"4º trimestre 2020","Brasil","Comércio","3.4"
"4º trimestre 2020","Brasil","Transporte, armazenagem e correio","-8.4"
"4º trimestre 2020","Brasil","Informação e comunicação","5.2"
"4º trimestre 2020","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.7"
"4º trimestre 2020","Brasil","Atividades imobiliárias","2.8"
"4º trimestre 2020","Brasil","Outras atividades de serviços","-6.6"
"4º trimestre 2020","Brasil","Administração, saúde e educação públicas e seguridade social","-3.3"
"4º trimestre 2020","Brasil","Valor adicionado a preços básicos","-0.5"
"4º trimestre 2020","Brasil","Impostos líquidos sobre produtos","0.8"
"4º trimestre 2020","Brasil","PIB a preços de mercado","-0.3"
"1º trimestre 2021","Brasil","Agropecuária - total","4.0"
"1º trimestre 2021","Brasil","Indústria - total","6.2"
"1º trimestre 2021","Brasil","Indústrias extrativas","-1.4"
"1º trimestre 2021","Brasil","Indústrias de transformação","7.7"
"1º trimestre 2021","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.2"
"1º trimestre 2021","Brasil","Construção","9.5"
"1º trimestre 2021","Brasil","Serviços - total","-0.5"
"1º trimestre 2021","Brasil","Comércio","2.7"
"1º trimestre 2021","Brasil","Transporte, armazenagem e correio","-3.8"
"1º trimestre 2021","Brasil","Informação e comunicação","7.0"
"1º trimestre 2021","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.9"
"1º trimestre 2021","Brasil","Atividades imobiliárias","2.0"
"1º trimestre 2021","Brasil","Outras atividades de serviços","-3.4"
"1º trimestre 2021","Brasil","Administração, saúde e educação públicas e seguridade social","-3.6"
"1º trimestre 2021","Brasil","Valor adicionado a preços básicos","1.6"
"1º trimestre 2021","Brasil","Impostos líquidos sobre produtos","2.8"
"1º trimestre 2021","Brasil","PIB a preços de mercado","1.7"
"2º trimestre 2021","Brasil","Agropecuária - total","-1.9"
"2º trimestre 2021","Brasil","Indústria - total","18.7"
"2º trimestre 2021","Brasil","Indústrias extrativas","7.3"
"2º trimestre 2021","Brasil","Indústrias de transformação","27.0"
"2º trimestre 2021","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.6"
"2º trimestre 2021","Brasil","Construção","19.1"
"2º trimestre 2021","Brasil","Serviços - total","10.8"
"2º trimestre 2021","Brasil","Comércio","17.5"
"2º trimestre 2021","Brasil","Transporte, armazenagem e correio","20.2"
"2º trimestre 2021","Brasil","Informação e comunicação","17.5"
"2º trimestre 2021","Brasil","Atividades financeiras, de seguros e serviços relacionados","-2.1"
"2º trimestre 2021","Brasil","Atividades imobiliárias","2.1"
"2º trimestre 2021","Brasil","Outras atividades de serviços","18.7"
"2º trimestre 2021","Brasil","Administração, saúde e educação públicas e seguridade social","6.6"
"2º trimestre 2021","Brasil","Valor adicionado a preços básicos","11.8"
"2º trimestre 2021","Brasil","Impostos líquidos sobre produtos","16.3"
"2º trimestre 2021","Brasil","PIB a preços de mercado","12.4"
"3º trimestre 2021","Brasil","Agropecuária - total","-6.8"
"3º trimestre 2021","Brasil","Indústria - total","1.4"
"3º trimestre 2021","Brasil","Indústrias extrativas","3.5"
"3º trimestre 2021","Brasil","Indústrias de transformação","-1.9"
"3º trimestre 2021","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-2.0"
"3º trimestre 2021","Brasil","Construção","13.0"
"3º trimestre 2021","Brasil","Serviços - total","5.8"
"3º trimestre 2021","Brasil","Comércio","1.6"
"3º trimestre 2021","Brasil","Transporte, armazenagem e correio","8.2"
"3º trimestre 2021","Brasil","Informação e comunicação","16.6"
"3º trimestre 2021","Brasil","Atividades financeiras, de seguros e serviços relacionados","-3.2"
"3º trimestre 2021","Brasil","Atividades imobiliárias","1.6"
"3º trimestre 2021","Brasil","Outras atividades de serviços","14.3"
"3º trimestre 2021","Brasil","Administração, saúde e educação públicas e seguridade social","4.4"
"3º trimestre 2021","Brasil","Valor adicionado a preços básicos","3.9"
"3º trimestre 2021","Brasil","Impostos líquidos sobre produtos","6.1"
"3º trimestre 2021","Brasil","PIB a preços de mercado","4.2"
"4º trimestre 2021","Brasil","Agropecuária - total","5.6"
"4º trimestre 2021","Brasil","Indústria - total","-3.8"
"4º trimestre 2021","Brasil","Indústrias extrativas","4.8"
"4º trimestre 2021","Brasil","Indústrias de transformação","-11.3"
"4º trimestre 2021","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.5"
"4º trimestre 2021","Brasil","Construção","9.4"
"4º trimestre 2021","Brasil","Serviços - total","3.7"
"4º trimestre 2021","Brasil","Comércio","-1.4"
"4º trimestre 2021","Brasil","Transporte, armazenagem e correio","4.0"
"4º trimestre 2021","Brasil","Informação e comunicação","14.6"
"4º trimestre 2021","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.3"
"4º trimestre 2021","Brasil","Atividades imobiliárias","1.7"
"4º trimestre 2021","Brasil","Outras atividades de serviços","8.3"
"4º trimestre 2021","Brasil","Administração, saúde e educação públicas e seguridade social","3.5"
"4º trimestre 2021","Brasil","Valor adicionado a preços básicos","1.5"
"4º trimestre 2021","Brasil","Impostos líquidos sobre produtos","1.3"
"4º trimestre 2021","Brasil","PIB a preços de mercado","1.5"
"1º trimestre 2022","Brasil","Agropecuária - total","-6.6"
"1º trimestre 2022","Brasil","Indústria - total","-2.3"
"1º trimestre 2022","Brasil","Indústrias extrativas","-0.5"
"1º trimestre 2022","Brasil","Indústrias de transformação","-6.4"
"1º trimestre 2022","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.3"
"1º trimestre 2022","Brasil","Construção","7.3"
"1º trimestre 2022","Brasil","Serviços - total","3.7"
"1º trimestre 2022","Brasil","Comércio","-1.7"
"1º trimestre 2022","Brasil","Transporte, armazenagem e correio","5.8"
"1º trimestre 2022","Brasil","Informação e comunicação","5.8"
"1º trimestre 2022","Brasil","Atividades financeiras, de seguros e serviços relacionados","-2.0"
"1º trimestre 2022","Brasil","Atividades imobiliárias","0.6"
"1º trimestre 2022","Brasil","Outras atividades de serviços","11.1"
"1º trimestre 2022","Brasil","Administração, saúde e educação públicas e seguridade social","3.9"
"1º trimestre 2022","Brasil","Valor adicionado a preços básicos","1.7"
"1º trimestre 2022","Brasil","Impostos líquidos sobre produtos","0.2"
"1º trimestre 2022","Brasil","PIB a preços de mercado","1.5"
"2º trimestre 2022","Brasil","Agropecuária - total","-0.9"
"2º trimestre 2022","Brasil","Indústria - total","1.1"
"2º trimestre 2022","Brasil","Indústrias extrativas","-3.4"
"2º trimestre 2022","Brasil","Indústrias de transformação","-1.3"
"2º trimestre 2022","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","10.8"
"2º trimestre 2022","Brasil","Construção","8.9"
"2º trimestre 2022","Brasil","Serviços - total","4.7"
"2º trimestre 2022","Brasil","Comércio","2.4"
"2º trimestre 2022","Brasil","Transporte, armazenagem e correio","9.1"
"2º trimestre 2022","Brasil","Informação e comunicação","4.2"
"2º trimestre 2022","Brasil","Atividades financeiras, de seguros e serviços relacionados","-1.9"
"2º trimestre 2022","Brasil","Atividades imobiliárias","1.3"
"2º trimestre 2022","Brasil","Outras atividades de serviços","13.4"
"2º trimestre 2022","Brasil","Administração, saúde e educação públicas e seguridade social","1.5"
"2º trimestre 2022","Brasil","Valor adicionado a preços básicos","3.6"
"2º trimestre 2022","Brasil","Impostos líquidos sobre produtos","3.5"
"2º trimestre 2022","Brasil","PIB a preços de mercado","3.5"
"3º trimestre 2022","Brasil","Agropecuária - total","8.8"
"3º trimestre 2022","Brasil","Indústria - total","2.6"
"3º trimestre 2022","Brasil","Indústrias extrativas","-3.0"
"3º trimestre 2022","Brasil","Indústrias de transformação","1.6"
"3º trimestre 2022","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","11.2"
"3º trimestre 2022","Brasil","Construção","6.4"
"3º trimestre 2022","Brasil","Serviços - total","5.0"
"3º trimestre 2022","Brasil","Comércio","2.1"
"3º trimestre 2022","Brasil","Transporte, armazenagem e correio","9.5"
"3º trimestre 2022","Brasil","Informação e comunicação","6.2"
"3º trimestre 2022","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.7"
"3º trimestre 2022","Brasil","Atividades imobiliárias","2.7"
"3º trimestre 2022","Brasil","Outras atividades de serviços","11.1"
"3º trimestre 2022","Brasil","Administração, saúde e educação públicas e seguridade social","1.9"
"3º trimestre 2022","Brasil","Valor adicionado a preços básicos","4.5"
"3º trimestre 2022","Brasil","Impostos líquidos sobre produtos","3.2"
"3º trimestre 2022","Brasil","PIB a preços de mercado","4.3"
"4º trimestre 2022","Brasil","Agropecuária - total","-3.7"
"4º trimestre 2022","Brasil","Indústria - total","4.6"
"4º trimestre 2022","Brasil","Indústrias extrativas","1.5"
"4º trimestre 2022","Brasil","Indústrias de transformação","4.0"
"4º trimestre 2022","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","12.8"
"4º trimestre 2022","Brasil","Construção","5.0"
"4º trimestre 2022","Brasil","Serviços - total","3.6"
"4º trimestre 2022","Brasil","Comércio","0.7"
"4º trimestre 2022","Brasil","Transporte, armazenagem e correio","7.8"
"4º trimestre 2022","Brasil","Informação e comunicação","4.6"
"4º trimestre 2022","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.3"
"4º trimestre 2022","Brasil","Atividades imobiliárias","2.8"
"4º trimestre 2022","Brasil","Outras atividades de serviços","10.0"
"4º trimestre 2022","Brasil","Administração, saúde e educação públicas e seguridade social","-0.7"
"4º trimestre 2022","Brasil","Valor adicionado a preços básicos","2.7"
"4º trimestre 2022","Brasil","Impostos líquidos sobre produtos","2.2"
"4º trimestre 2022","Brasil","PIB a preços de mercado","2.7"
"1º trimestre 2023","Brasil","Agropecuária - total","24.3"
"1º trimestre 2023","Brasil","Indústria - total","1.6"
"1º trimestre 2023","Brasil","Indústrias extrativas","8.9"
"1º trimestre 2023","Brasil","Indústrias de transformação","-1.4"
"1º trimestre 2023","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.8"
"1º trimestre 2023","Brasil","Construção","1.7"
"1º trimestre 2023","Brasil","Serviços - total","3.5"
"1º trimestre 2023","Brasil","Comércio","1.7"
"1º trimestre 2023","Brasil","Transporte, armazenagem e correio","5.2"
"1º trimestre 2023","Brasil","Informação e comunicação","6.0"
"1º trimestre 2023","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.3"
"1º trimestre 2023","Brasil","Atividades imobiliárias","2.8"
"1º trimestre 2023","Brasil","Outras atividades de serviços","5.7"
"1º trimestre 2023","Brasil","Administração, saúde e educação públicas e seguridade social","0.6"
"1º trimestre 2023","Brasil","Valor adicionado a preços básicos","4.5"
"1º trimestre 2023","Brasil","Impostos líquidos sobre produtos","3.7"
"1º trimestre 2023","Brasil","PIB a preços de mercado","4.4"
"2º trimestre 2023","Brasil","Agropecuária - total","22.6"
"2º trimestre 2023","Brasil","Indústria - total","0.9"
"2º trimestre 2023","Brasil","Indústrias extrativas","9.2"
"2º trimestre 2023","Brasil","Indústrias de transformação","-2.1"
"2º trimestre 2023","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.9"
"2º trimestre 2023","Brasil","Construção","0.8"
"2º trimestre 2023","Brasil","Serviços - total","3.2"
"2º trimestre 2023","Brasil","Comércio","0.9"
"2º trimestre 2023","Brasil","Transporte, armazenagem e correio","4.6"
"2º trimestre 2023","Brasil","Informação e comunicação","4.5"
"2º trimestre 2023","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.0"
"2º trimestre 2023","Brasil","Atividades imobiliárias","2.9"
"2º trimestre 2023","Brasil","Outras atividades de serviços","3.3"
"2º trimestre 2023","Brasil","Administração, saúde e educação públicas e seguridade social","2.6"
"2º trimestre 2023","Brasil","Valor adicionado a preços básicos","4.0"
"2º trimestre 2023","Brasil","Impostos líquidos sobre produtos","3.0"
"2º trimestre 2023","Brasil","PIB a preços de mercado","3.9"
"3º trimestre 2023","Brasil","Agropecuária - total","9.6"
"3º trimestre 2023","Brasil","Indústria - total","1.2"
"3º trimestre 2023","Brasil","Indústrias extrativas","7.8"
"3º trimestre 2023","Brasil","Indústrias de transformação","-1.0"
"3º trimestre 2023","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.1"
"3º trimestre 2023","Brasil","Construção","-4.5"
"3º trimestre 2023","Brasil","Serviços - total","2.3"
"3º trimestre 2023","Brasil","Comércio","0.8"
"3º trimestre 2023","Brasil","Transporte, armazenagem e correio","1.3"
"3º trimestre 2023","Brasil","Informação e comunicação","1.7"
"3º trimestre 2023","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.6"
"3º trimestre 2023","Brasil","Atividades imobiliárias","3.6"
"3º trimestre 2023","Brasil","Outras atividades de serviços","1.7"
"3º trimestre 2023","Brasil","Administração, saúde e educação públicas e seguridade social","1.4"
"3º trimestre 2023","Brasil","Valor adicionado a preços básicos","2.5"
"3º trimestre 2023","Brasil","Impostos líquidos sobre produtos","1.4"
"3º trimestre 2023","Brasil","PIB a preços de mercado","2.4"
"4º trimestre 2023","Brasil","Agropecuária - total","0.5"
"4º trimestre 2023","Brasil","Indústria - total","3.0"
"4º trimestre 2023","Brasil","Indústrias extrativas","11.0"
"4º trimestre 2023","Brasil","Indústrias de transformação","-0.6"
"4º trimestre 2023","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","10.4"
"4º trimestre 2023","Brasil","Construção","1.1"
"4º trimestre 2023","Brasil","Serviços - total","2.2"
"4º trimestre 2023","Brasil","Comércio","-0.1"
"4º trimestre 2023","Brasil","Transporte, armazenagem e correio","-1.1"
"4º trimestre 2023","Brasil","Informação e comunicação","0.1"
"4º trimestre 2023","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.0"
"4º trimestre 2023","Brasil","Atividades imobiliárias","2.7"
"4º trimestre 2023","Brasil","Outras atividades de serviços","2.9"
"4º trimestre 2023","Brasil","Administração, saúde e educação públicas e seguridade social","1.7"
"4º trimestre 2023","Brasil","Valor adicionado a preços básicos","2.6"
"4º trimestre 2023","Brasil","Impostos líquidos sobre produtos","1.1"
"4º trimestre 2023","Brasil","PIB a preços de mercado","2.4"
"1º trimestre 2024","Brasil","Agropecuária - total","-6.9"
"1º trimestre 2024","Brasil","Indústria - total","3.0"
"1º trimestre 2024","Brasil","Indústrias extrativas","6.0"
"1º trimestre 2024","Brasil","Indústrias de transformação","1.7"
"1º trimestre 2024","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.8"
"1º trimestre 2024","Brasil","Construção","2.0"
"1º trimestre 2024","Brasil","Serviços - total","3.5"
"1º trimestre 2024","Brasil","Comércio","2.5"
"1º trimestre 2024","Brasil","Transporte, armazenagem e correio","0.2"
"1º trimestre 2024","Brasil","Informação e comunicação","4.7"
"1º trimestre 2024","Brasil","Atividades financeiras, de seguros e serviços relacionados","5.9"
"1º trimestre 2024","Brasil","Atividades imobiliárias","3.8"
"1º trimestre 2024","Brasil","Outras atividades de serviços","5.4"
"1º trimestre 2024","Brasil","Administração, saúde e educação públicas e seguridade social","1.6"
"1º trimestre 2024","Brasil","Valor adicionado a preços básicos","2.2"
"1º trimestre 2024","Brasil","Impostos líquidos sobre produtos","4.1"
"1º trimestre 2024","Brasil","PIB a preços de mercado","2.5"
"2º trimestre 2024","Brasil","Agropecuária - total","-3.6"
"2º trimestre 2024","Brasil","Indústria - total","4.0"
"2º trimestre 2024","Brasil","Indústrias extrativas","1.1"
"2º trimestre 2024","Brasil","Indústrias de transformação","3.9"
"2º trimestre 2024","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.8"
"2º trimestre 2024","Brasil","Construção","4.4"
"2º trimestre 2024","Brasil","Serviços - total","3.8"
"2º trimestre 2024","Brasil","Comércio","3.9"
"2º trimestre 2024","Brasil","Transporte, armazenagem e correio","0.9"
"2º trimestre 2024","Brasil","Informação e comunicação","5.4"
"2º trimestre 2024","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.4"
"2º trimestre 2024","Brasil","Atividades imobiliárias","3.6"
"2º trimestre 2024","Brasil","Outras atividades de serviços","5.1"
"2º trimestre 2024","Brasil","Administração, saúde e educação públicas e seguridade social","1.6"
"2º trimestre 2024","Brasil","Valor adicionado a preços básicos","3.1"
"2º trimestre 2024","Brasil","Impostos líquidos sobre produtos","5.8"
"2º trimestre 2024","Brasil","PIB a preços de mercado","3.5"
"3º trimestre 2024","Brasil","Agropecuária - total","-0.5"
"3º trimestre 2024","Brasil","Indústria - total","3.3"
"3º trimestre 2024","Brasil","Indústrias extrativas","-0.9"
"3º trimestre 2024","Brasil","Indústrias de transformação","4.3"
"3º trimestre 2024","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.7"
"3º trimestre 2024","Brasil","Construção","6.0"
"3º trimestre 2024","Brasil","Serviços - total","4.3"
"3º trimestre 2024","Brasil","Comércio","4.1"
"3º trimestre 2024","Brasil","Transporte, armazenagem e correio","2.5"
"3º trimestre 2024","Brasil","Informação e comunicação","7.9"
"3º trimestre 2024","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.1"
"3º trimestre 2024","Brasil","Atividades imobiliárias","2.9"
"3º trimestre 2024","Brasil","Outras atividades de serviços","6.2"
"3º trimestre 2024","Brasil","Administração, saúde e educação públicas e seguridade social","2.0"
"3º trimestre 2024","Brasil","Valor adicionado a preços básicos","3.8"
"3º trimestre 2024","Brasil","Impostos líquidos sobre produtos","6.7"
"3º trimestre 2024","Brasil","PIB a preços de mercado","4.1"
"4º trimestre 2024","Brasil","Agropecuária - total","-1.8"
"4º trimestre 2024","Brasil","Indústria - total","2.2"
"4º trimestre 2024","Brasil","Indústrias extrativas","-3.6"
"4º trimestre 2024","Brasil","Indústrias de transformação","5.3"
"4º trimestre 2024","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-6.3"
"4º trimestre 2024","Brasil","Construção","4.9"
"4º trimestre 2024","Brasil","Serviços - total","3.5"
"4º trimestre 2024","Brasil","Comércio","4.4"
"4º trimestre 2024","Brasil","Transporte, armazenagem e correio","4.1"
"4º trimestre 2024","Brasil","Informação e comunicação","6.2"
"4º trimestre 2024","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.8"
"4º trimestre 2024","Brasil","Atividades imobiliárias","2.2"
"4º trimestre 2024","Brasil","Outras atividades de serviços","4.3"
"4º trimestre 2024","Brasil","Administração, saúde e educação públicas e seguridade social","1.7"
"4º trimestre 2024","Brasil","Valor adicionado a preços básicos","3.2"
"4º trimestre 2024","Brasil","Impostos líquidos sobre produtos","6.2"
"4º trimestre 2024","Brasil","PIB a preços de mercado","3.6"
"Fonte: IBGE - Contas Nacionais Trimestrais"

"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"1º trimestre 2002","Brasil","Agropecuária - total","5.7"
"1º trimestre 2002","Brasil","Indústria - total","-2.1"
"1º trimestre 2002","Brasil","Indústrias extrativas","6.7"
"1º trimestre 2002","Brasil","Indústrias de transformação","-0.9"
"1º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-10.4"
"1º trimestre 2002","Brasil","Construção","-3.1"
"1º trimestre 2002","Brasil","Serviços - total","2.2"
"1º trimestre 2002","Brasil","Comércio","-0.4"
"1º trimestre 2002","Brasil","Transporte, armazenagem e correio","1.2"
"1º trimestre 2002","Brasil","Informação e comunicação","5.7"
"1º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.2"
"1º trimestre 2002","Brasil","Atividades imobiliárias","2.8"
"1º trimestre 2002","Brasil","Outras atividades de serviços","1.1"
"1º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","3.6"
"1º trimestre 2002","Brasil","Valor adicionado a preços básicos","1.2"
"1º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-2.6"
"1º trimestre 2002","Brasil","PIB a preços de mercado","0.7"
"2º trimestre 2002","Brasil","Agropecuária - total","6.9"
"2º trimestre 2002","Brasil","Indústria - total","-1.7"
"2º trimestre 2002","Brasil","Indústrias extrativas","9.6"
"2º trimestre 2002","Brasil","Indústrias de transformação","-0.9"
"2º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-9.8"
"2º trimestre 2002","Brasil","Construção","-2.3"
"2º trimestre 2002","Brasil","Serviços - total","2.0"
"2º trimestre 2002","Brasil","Comércio","-2.3"
"2º trimestre 2002","Brasil","Transporte, armazenagem e correio","2.4"
"2º trimestre 2002","Brasil","Informação e comunicação","5.0"
"2º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.0"
"2º trimestre 2002","Brasil","Atividades imobiliárias","2.5"
"2º trimestre 2002","Brasil","Outras atividades de serviços","1.6"
"2º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","3.3"
"2º trimestre 2002","Brasil","Valor adicionado a preços básicos","1.3"
"2º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-3.0"
"2º trimestre 2002","Brasil","PIB a preços de mercado","0.7"
"3º trimestre 2002","Brasil","Agropecuária - total","8.4"
"3º trimestre 2002","Brasil","Indústria - total","0.5"
"3º trimestre 2002","Brasil","Indústrias extrativas","12.3"
"3º trimestre 2002","Brasil","Indústrias de transformação","-0.1"
"3º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-3.7"
"3º trimestre 2002","Brasil","Construção","0.7"
"3º trimestre 2002","Brasil","Serviços - total","2.4"
"3º trimestre 2002","Brasil","Comércio","-2.9"
"3º trimestre 2002","Brasil","Transporte, armazenagem e correio","3.7"
"3º trimestre 2002","Brasil","Informação e comunicação","5.6"
"3º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.7"
"3º trimestre 2002","Brasil","Atividades imobiliárias","2.8"
"3º trimestre 2002","Brasil","Outras atividades de serviços","2.9"
"3º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","2.9"
"3º trimestre 2002","Brasil","Valor adicionado a preços básicos","2.2"
"3º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-2.0"
"3º trimestre 2002","Brasil","PIB a preços de mercado","1.6"
"4º trimestre 2002","Brasil","Agropecuária - total","8.0"
"4º trimestre 2002","Brasil","Indústria - total","3.8"
"4º trimestre 2002","Brasil","Indústrias extrativas","15.2"
"4º trimestre 2002","Brasil","Indústrias de transformação","2.1"
"4º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.3"
"4º trimestre 2002","Brasil","Construção","4.8"
"4º trimestre 2002","Brasil","Serviços - total","3.1"
"4º trimestre 2002","Brasil","Comércio","-2.4"
"4º trimestre 2002","Brasil","Transporte, armazenagem e correio","4.0"
"4º trimestre 2002","Brasil","Informação e comunicação","6.3"
"4º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.8"
"4º trimestre 2002","Brasil","Atividades imobiliárias","3.9"
"4º trimestre 2002","Brasil","Outras atividades de serviços","4.5"
"4º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","2.7"
"4º trimestre 2002","Brasil","Valor adicionado a preços básicos","3.6"
"4º trimestre 2002","Brasil","Impostos líquidos sobre produtos","0.0"
"4º trimestre 2002","Brasil","PIB a preços de mercado","3.1"
"1º trimestre 2003","Brasil","Agropecuária - total","11.0"
"1º trimestre 2003","Brasil","Indústria - total","4.4"
"1º trimestre 2003","Brasil","Indústrias extrativas","12.3"
"1º trimestre 2003","Brasil","Indústrias de transformação","2.0"
"1º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","9.7"
"1º trimestre 2003","Brasil","Construção","5.3"
"1º trimestre 2003","Brasil","Serviços - total","2.8"
"1º trimestre 2003","Brasil","Comércio","-1.3"
"1º trimestre 2003","Brasil","Transporte, armazenagem e correio","1.6"
"1º trimestre 2003","Brasil","Informação e comunicação","5.3"
"1º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.2"
"1º trimestre 2003","Brasil","Atividades imobiliárias","4.8"
"1º trimestre 2003","Brasil","Outras atividades de serviços","4.0"
"1º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","2.4"
"1º trimestre 2003","Brasil","Valor adicionado a preços básicos","3.8"
"1º trimestre 2003","Brasil","Impostos líquidos sobre produtos","2.6"
"1º trimestre 2003","Brasil","PIB a preços de mercado","3.6"
"2º trimestre 2003","Brasil","Agropecuária - total","12.7"
"2º trimestre 2003","Brasil","Indústria - total","3.3"
"2º trimestre 2003","Brasil","Indústrias extrativas","6.7"
"2º trimestre 2003","Brasil","Indústrias de transformação","2.4"
"2º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","9.6"
"2º trimestre 2003","Brasil","Construção","1.3"
"2º trimestre 2003","Brasil","Serviços - total","2.4"
"2º trimestre 2003","Brasil","Comércio","-0.9"
"2º trimestre 2003","Brasil","Transporte, armazenagem e correio","-0.2"
"2º trimestre 2003","Brasil","Informação e comunicação","5.4"
"2º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","0.3"
"2º trimestre 2003","Brasil","Atividades imobiliárias","5.3"
"2º trimestre 2003","Brasil","Outras atividades de serviços","3.1"
"2º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","2.5"
"2º trimestre 2003","Brasil","Valor adicionado a preços básicos","3.3"
"2º trimestre 2003","Brasil","Impostos líquidos sobre produtos","2.5"
"2º trimestre 2003","Brasil","PIB a preços de mercado","3.2"
"3º trimestre 2003","Brasil","Agropecuária - total","9.9"
"3º trimestre 2003","Brasil","Indústria - total","2.3"
"3º trimestre 2003","Brasil","Indústrias extrativas","3.5"
"3º trimestre 2003","Brasil","Indústrias de transformação","3.7"
"3º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.0"
"3º trimestre 2003","Brasil","Construção","-3.7"
"3º trimestre 2003","Brasil","Serviços - total","1.7"
"3º trimestre 2003","Brasil","Comércio","-1.4"
"3º trimestre 2003","Brasil","Transporte, armazenagem e correio","-2.0"
"3º trimestre 2003","Brasil","Informação e comunicação","4.3"
"3º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-1.8"
"3º trimestre 2003","Brasil","Atividades imobiliárias","4.9"
"3º trimestre 2003","Brasil","Outras atividades de serviços","1.9"
"3º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","2.8"
"3º trimestre 2003","Brasil","Valor adicionado a preços básicos","2.4"
"3º trimestre 2003","Brasil","Impostos líquidos sobre produtos","1.5"
"3º trimestre 2003","Brasil","PIB a preços de mercado","2.3"
"4º trimestre 2003","Brasil","Agropecuária - total","8.3"
"4º trimestre 2003","Brasil","Indústria - total","0.1"
"4º trimestre 2003","Brasil","Indústrias extrativas","4.6"
"4º trimestre 2003","Brasil","Indústrias de transformação","2.7"
"4º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.7"
"4º trimestre 2003","Brasil","Construção","-8.9"
"4º trimestre 2003","Brasil","Serviços - total","1.0"
"4º trimestre 2003","Brasil","Comércio","-0.4"
