"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"2º trimestre 2003","Brasil","Transporte, armazenagem e correio","-2.8"
"2º trimestre 2003","Brasil","Informação e comunicação","4.8"
"2º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-3.8"
"2º trimestre 2003","Brasil","Atividades imobiliárias","5.1"
"2º trimestre 2003","Brasil","Outras atividades de serviços","-0.5"
"2º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","3.0"
"2º trimestre 2003","Brasil","Valor adicionado a preços básicos","1.1"
"2º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-0.8"
"2º trimestre 2003","Brasil","PIB a preços de mercado","0.8"
"3º trimestre 2003","Brasil","Agropecuária - total","1.5"
"3º trimestre 2003","Brasil","Indústria - total","1.9"
"3º trimestre 2003","Brasil","Indústrias extrativas","2.5"
"3º trimestre 2003","Brasil","Indústrias de transformação","7.7"
"3º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.2"
"3º trimestre 2003","Brasil","Construção","-12.0"
"3º trimestre 2003","Brasil","Serviços - total","0.5"
"3º trimestre 2003","Brasil","Comércio","-3.2"
"3º trimestre 2003","Brasil","Transporte, armazenagem e correio","-2.1"
"3º trimestre 2003","Brasil","Informação e comunicação","1.8"
"3º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-3.9"
"3º trimestre 2003","Brasil","Atividades imobiliárias","2.7"
"3º trimestre 2003","Brasil","Outras atividades de serviços","-0.1"
"3º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","3.5"
"3º trimestre 2003","Brasil","Valor adicionado a preços básicos","0.9"
"3º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-1.2"
"3º trimestre 2003","Brasil","PIB a preços de mercado","0.6"
"4º trimestre 2003","Brasil","Agropecuária - total","0.8"
"4º trimestre 2003","Brasil","Indústria - total","0.3"
"4º trimestre 2003","Brasil","Indústrias extrativas","14.4"
"4º trimestre 2003","Brasil","Indústrias de transformação","2.6"
"4º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.0"
"4º trimestre 2003","Brasil","Construção","-10.0"
"4º trimestre 2003","Brasil","Serviços - total","0.8"
"4º trimestre 2003","Brasil","Comércio","3.0"
"4º trimestre 2003","Brasil","Transporte, armazenagem e correio","1.0"
"4º trimestre 2003","Brasil","Informação e comunicação","-0.3"
"4º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-2.7"
"4º trimestre 2003","Brasil","Atividades imobiliárias","1.0"
"4º trimestre 2003","Brasil","Outras atividades de serviços","-1.7"
"4º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","4.2"
"4º trimestre 2003","Brasil","Valor adicionado a preços básicos","0.5"
"4º trimestre 2003","Brasil","Impostos líquidos sobre produtos","0.9"
"4º trimestre 2003","Brasil","PIB a preços de mercado","0.6"
"1º trimestre 2004","Brasil","Agropecuária - total","0.0"
"1º trimestre 2004","Brasil","Indústria - total","7.4"
"1º trimestre 2004","Brasil","Indústrias extrativas","2.2"
"1º trimestre 2004","Brasil","Indústrias de transformação","14.2"
"1º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.2"
"1º trimestre 2004","Brasil","Construção","0.7"
"1º trimestre 2004","Brasil","Serviços - total","3.3"
"1º trimestre 2004","Brasil","Comércio","8.0"
"1º trimestre 2004","Brasil","Transporte, armazenagem e correio","10.0"
"1º trimestre 2004","Brasil","Informação e comunicação","1.1"
"1º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.4"
"1º trimestre 2004","Brasil","Atividades imobiliárias","0.7"
"1º trimestre 2004","Brasil","Outras atividades de serviços","-1.3"
"1º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","7.6"
"1º trimestre 2004","Brasil","Valor adicionado a preços básicos","4.1"
"1º trimestre 2004","Brasil","Impostos líquidos sobre produtos","2.8"
"1º trimestre 2004","Brasil","PIB a preços de mercado","3.9"
"2º trimestre 2004","Brasil","Agropecuária - total","2.0"
"2º trimestre 2004","Brasil","Indústria - total","8.9"
"2º trimestre 2004","Brasil","Indústrias extrativas","4.0"
"2º trimestre 2004","Brasil","Indústrias de transformação","7.9"
"2º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","9.4"
"2º trimestre 2004","Brasil","Construção","13.2"
"2º trimestre 2004","Brasil","Serviços - total","5.6"
"2º trimestre 2004","Brasil","Comércio","9.4"
"2º trimestre 2004","Brasil","Transporte, armazenagem e correio","6.4"
"2º trimestre 2004","Brasil","Informação e comunicação","2.6"
"2º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","14.4"
"2º trimestre 2004","Brasil","Atividades imobiliárias","4.1"
"2º trimestre 2004","Brasil","Outras atividades de serviços","3.8"
"2º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","3.0"
"2º trimestre 2004","Brasil","Valor adicionado a preços básicos","6.2"
"2º trimestre 2004","Brasil","Impostos líquidos sobre produtos","6.9"
"2º trimestre 2004","Brasil","PIB a preços de mercado","6.3"
"3º trimestre 2004","Brasil","Agropecuária - total","4.6"
"3º trimestre 2004","Brasil","Indústria - total","8.8"
"3º trimestre 2004","Brasil","Indústrias extrativas","1.7"
"3º trimestre 2004","Brasil","Indústrias de transformação","6.3"
"3º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.2"
"3º trimestre 2004","Brasil","Construção","19.2"
"3º trimestre 2004","Brasil","Serviços - total","5.2"
"3º trimestre 2004","Brasil","Comércio","12.1"
"3º trimestre 2004","Brasil","Transporte, armazenagem e correio","2.6"
"3º trimestre 2004","Brasil","Informação e comunicação","5.1"
"3º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.8"
"3º trimestre 2004","Brasil","Atividades imobiliárias","8.6"
"3º trimestre 2004","Brasil","Outras atividades de serviços","4.4"
"3º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","3.2"
"3º trimestre 2004","Brasil","Valor adicionado a preços básicos","6.2"
"3º trimestre 2004","Brasil","Impostos líquidos sobre produtos","8.6"
"3º trimestre 2004","Brasil","PIB a preços de mercado","6.6"
"4º trimestre 2004","Brasil","Agropecuária - total","1.5"
"4º trimestre 2004","Brasil","Indústria - total","7.7"
"4º trimestre 2004","Brasil","Indústrias extrativas","-8.2"
"4º trimestre 2004","Brasil","Indústrias de transformação","9.0"
"4º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.4"
"4º trimestre 2004","Brasil","Construção","10.0"
"4º trimestre 2004","Brasil","Serviços - total","5.8"
"4º trimestre 2004","Brasil","Comércio","7.6"
"4º trimestre 2004","Brasil","Transporte, armazenagem e correio","3.5"
"4º trimestre 2004","Brasil","Informação e comunicação","8.1"
"4º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.8"
"4º trimestre 2004","Brasil","Atividades imobiliárias","8.6"
"4º trimestre 2004","Brasil","Outras atividades de serviços","7.5"
"4º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","2.8"
"4º trimestre 2004","Brasil","Valor adicionado a preços básicos","6.0"
"4º trimestre 2004","Brasil","Impostos líquidos sobre produtos","7.2"
"4º trimestre 2004","Brasil","PIB a preços de mercado","6.2"
"1º trimestre 2005","Brasil","Agropecuária - total","3.2"
"1º trimestre 2005","Brasil","Indústria - total","4.2"
"1º trimestre 2005","Brasil","Indústrias extrativas","1.9"
"1º trimestre 2005","Brasil","Indústrias de transformação","4.5"
"1º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.6"
"1º trimestre 2005","Brasil","Construção","2.2"
"1º trimestre 2005","Brasil","Serviços - total","4.5"
"1º trimestre 2005","Brasil","Comércio","3.4"
"1º trimestre 2005","Brasil","Transporte, armazenagem e correio","5.3"
"1º trimestre 2005","Brasil","Informação e comunicação","7.6"
"1º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","9.9"
"1º trimestre 2005","Brasil","Atividades imobiliárias","6.6"
"1º trimestre 2005","Brasil","Outras atividades de serviços","6.3"
"1º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","-0.7"
"1º trimestre 2005","Brasil","Valor adicionado a preços básicos","4.2"
"1º trimestre 2005","Brasil","Impostos líquidos sobre produtos","3.9"
"1º trimestre 2005","Brasil","PIB a preços de mercado","4.2"
"2º trimestre 2005","Brasil","Agropecuária - total","2.4"
"2º trimestre 2005","Brasil","Indústria - total","5.2"
"2º trimestre 2005","Brasil","Indústrias extrativas","11.8"
"2º trimestre 2005","Brasil","Indústrias de transformação","6.1"
"2º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.4"
"2º trimestre 2005","Brasil","Construção","0.8"
"2º trimestre 2005","Brasil","Serviços - total","4.2"
"2º trimestre 2005","Brasil","Comércio","4.9"
"2º trimestre 2005","Brasil","Transporte, armazenagem e correio","4.9"
"2º trimestre 2005","Brasil","Informação e comunicação","7.6"
"2º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.4"
"2º trimestre 2005","Brasil","Atividades imobiliárias","4.2"
"2º trimestre 2005","Brasil","Outras atividades de serviços","5.3"
"2º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","2.5"
"2º trimestre 2005","Brasil","Valor adicionado a preços básicos","4.3"
"2º trimestre 2005","Brasil","Impostos líquidos sobre produtos","5.4"
"2º trimestre 2005","Brasil","PIB a preços de mercado","4.5"
"3º trimestre 2005","Brasil","Agropecuária - total","-2.0"
"3º trimestre 2005","Brasil","Indústria - total","-1.1"
"3º trimestre 2005","Brasil","Indústrias extrativas","6.7"
"3º trimestre 2005","Brasil","Indústrias de transformação","-1.0"
"3º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.1"
"3º trimestre 2005","Brasil","Construção","-7.0"
"3º trimestre 2005","Brasil","Serviços - total","3.5"
"3º trimestre 2005","Brasil","Comércio","1.5"
"3º trimestre 2005","Brasil","Transporte, armazenagem e correio","2.2"
"3º trimestre 2005","Brasil","Informação e comunicação","5.4"
"3º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.5"
"3º trimestre 2005","Brasil","Atividades imobiliárias","2.4"
"3º trimestre 2005","Brasil","Outras atividades de serviços","5.2"
"3º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","1.6"
"3º trimestre 2005","Brasil","Valor adicionado a preços básicos","1.8"
"3º trimestre 2005","Brasil","Impostos líquidos sobre produtos","3.7"
"3º trimestre 2005","Brasil","PIB a preços de mercado","2.1"
"4º trimestre 2005","Brasil","Agropecuária - total","0.4"
"4º trimestre 2005","Brasil","Indústria - total","0.2"
"4º trimestre 2005","Brasil","Indústrias extrativas","6.6"
"4º trimestre 2005","Brasil","Indústrias de transformação","0.1"
"4º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.7"
"4º trimestre 2005","Brasil","Construção","-3.5"
"4º trimestre 2005","Brasil","Serviços - total","2.5"
"4º trimestre 2005","Brasil","Comércio","2.7"
"4º trimestre 2005","Brasil","Transporte, armazenagem e correio","2.3"
"4º trimestre 2005","Brasil","Informação e comunicação","2.9"
"4º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.9"
"4º trimestre 2005","Brasil","Atividades imobiliárias","3.6"
"4º trimestre 2005","Brasil","Outras atividades de serviços","2.9"
"4º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.8"
"4º trimestre 2005","Brasil","Valor adicionado a preços básicos","1.8"
"4º trimestre 2005","Brasil","Impostos líquidos sobre produtos","4.0"
"4º trimestre 2005","Brasil","PIB a preços de mercado","2.2"
"1º trimestre 2006","Brasil","Agropecuária - total","0.5"
"1º trimestre 2006","Brasil","Indústria - total","3.3"
"1º trimestre 2006","Brasil","Indústrias extrativas","13.7"
"1º trimestre 2006","Brasil","Indústrias de transformação","2.5"
"1º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.7"
"1º trimestre 2006","Brasil","Construção","0.5"
"1º trimestre 2006","Brasil","Serviços - total","4.6"
"1º trimestre 2006","Brasil","Comércio","5.7"
"1º trimestre 2006","Brasil","Transporte, armazenagem e correio","4.0"
"1º trimestre 2006","Brasil","Informação e comunicação","1.1"
"1º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","10.4"
"1º trimestre 2006","Brasil","Atividades imobiliárias","3.3"
"1º trimestre 2006","Brasil","Outras atividades de serviços","4.4"
"1º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.5"
"1º trimestre 2006","Brasil","Valor adicionado a preços básicos","3.8"
"1º trimestre 2006","Brasil","Impostos líquidos sobre produtos","7.2"
"1º trimestre 2006","Brasil","PIB a preços de mercado","4.3"
"2º trimestre 2006","Brasil","Agropecuária - total","-0.3"
"2º trimestre 2006","Brasil","Indústria - total","-1.9"
"2º trimestre 2006","Brasil","Indústrias extrativas","1.4"
"2º trimestre 2006","Brasil","Indústrias de transformação","-2.9"
"2º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.7"
"2º trimestre 2006","Brasil","Construção","-3.5"
"2º trimestre 2006","Brasil","Serviços - total","3.9"
"2º trimestre 2006","Brasil","Comércio","2.1"
"2º trimestre 2006","Brasil","Transporte, armazenagem e correio","0.8"
"2º trimestre 2006","Brasil","Informação e comunicação","-1.5"
"2º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","12.9"
"2º trimestre 2006","Brasil","Atividades imobiliárias","4.6"
"2º trimestre 2006","Brasil","Outras atividades de serviços","3.3"
"2º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.6"
"2º trimestre 2006","Brasil","Valor adicionado a preços básicos","1.8"
"2º trimestre 2006","Brasil","Impostos líquidos sobre produtos","4.9"
"2º trimestre 2006","Brasil","PIB a preços de mercado","2.3"
"3º trimestre 2006","Brasil","Agropecuária - total","11.1"
"3º trimestre 2006","Brasil","Indústria - total","2.5"
"3º trimestre 2006","Brasil","Indústrias extrativas","5.3"
"3º trimestre 2006","Brasil","Indústrias de transformação","1.7"
"3º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.9"
"3º trimestre 2006","Brasil","Construção","1.6"
"3º trimestre 2006","Brasil","Serviços - total","4.4"
"3º trimestre 2006","Brasil","Comércio","4.9"
"3º trimestre 2006","Brasil","Transporte, armazenagem e correio","2.4"
"3º trimestre 2006","Brasil","Informação e comunicação","2.7"
"3º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.9"
"3º trimestre 2006","Brasil","Atividades imobiliárias","5.7"
"3º trimestre 2006","Brasil","Outras atividades de serviços","3.3"
"3º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.8"
"3º trimestre 2006","Brasil","Valor adicionado a preços básicos","4.2"
"3º trimestre 2006","Brasil","Impostos líquidos sobre produtos","6.0"
"3º trimestre 2006","Brasil","PIB a preços de mercado","4.5"
"4º trimestre 2006","Brasil","Agropecuária - total","10.3"
"4º trimestre 2006","Brasil","Indústria - total","4.1"
"4º trimestre 2006","Brasil","Indústrias extrativas","6.6"
"4º trimestre 2006","Brasil","Indústrias de transformação","3.8"
"4º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.3"
"4º trimestre 2006","Brasil","Construção","2.4"
"4º trimestre 2006","Brasil","Serviços - total","4.5"
"4º trimestre 2006","Brasil","Comércio","7.2"
"4º trimestre 2006","Brasil","Transporte, armazenagem e correio","2.9"
"4º trimestre 2006","Brasil","Informação e comunicação","0.7"
"4º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.2"
