"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"fevereiro 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","2.6","6.3","2.4"
"março 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","112.38721","105.43052","112.86589"
"março 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","110.80271","105.12234","111.24656"
"março 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.3","0.7","1.4"
"março 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","4.4","5.6","4.3"
"março 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","3.8","5.7","3.7"
"março 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","2.5","5.7","2.4"
"abril 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","105.59200","101.65515","105.87783"
"abril 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","111.92696","105.31637","112.33391"
"abril 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.0","0.2","1.0"
"abril 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","5.8","5.5","5.8"
"abril 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","4.3","5.6","4.2"
"abril 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","3.1","5.8","3.0"
"maio 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","116.40273","107.27663","117.01963"
"maio 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.19317","104.91911","112.56538"
"maio 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.2","-0.4","0.2"
"maio 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","4.8","3.2","4.8"
"maio 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","4.4","5.1","4.4"
"maio 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","3.1","5.5","3.0"
"junho 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","112.88043","106.34621","113.33264"
"junho 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.90631","105.42629","113.46058"
"junho 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.6","0.5","0.8"
"junho 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.3","8.6","6.2"
"junho 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","4.7","5.7","4.7"
"junho 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","3.7","6.1","3.6"
"julho 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","116.34116","111.27758","116.70186"
"julho 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.51935","107.33968","112.77812"
"julho 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.3","1.8","-0.6"
"julho 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.5","7.2","6.4"
"julho 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.0","5.9","4.9"
"julho 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","4.0","6.1","3.8"
"agosto 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","122.27648","111.09261","123.02523"
"agosto 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","114.15570","106.56606","114.53370"
"agosto 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.5","-0.7","1.6"
"agosto 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.5","6.8","6.4"
"agosto 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.2","6.0","5.1"
"agosto 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","4.3","6.2","4.1"
"setembro 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","114.61139","105.56753","115.22247"
"setembro 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.80231","105.55387","113.90330"
"setembro 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.2","-0.9","-0.6"
"setembro 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","5.5","4.0","5.6"
"setembro 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.2","5.8","5.2"
"setembro 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","4.6","6.2","4.5"
"outubro 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","125.65204","108.77695","126.76087"
"outubro 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","116.18552","106.23395","116.69348"
"outubro 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","3.0","0.6","2.4"
"outubro 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","10.6","4.1","11.0"
"outubro 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.8","5.6","5.8"
"outubro 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","5.2","6.1","5.1"
"novembro 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","119.33440","106.64295","120.17717"
"novembro 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","114.92268","107.95120","115.38810"
"novembro 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.1","1.6","-1.1"
"novembro 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.8","3.5","7.0"
"novembro 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.9","5.4","5.9"
"novembro 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","5.5","5.6","5.5"
"dezembro 2007","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.93691","114.20452","107.58010"
"dezembro 2007","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.26214","112.30762","115.54850"
"dezembro 2007","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.3","4.0","0.1"
"dezembro 2007","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.5","10.7","6.2"
"dezembro 2007","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.0","5.9","6.0"
"dezembro 2007","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.0","5.9","6.0"
"janeiro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","110.45695","110.24493","110.50963"
"janeiro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.17629","111.32802","117.53622"
"janeiro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.7","-0.9","1.7"
"janeiro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","8.9","7.9","9.0"
"janeiro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.9","7.9","9.0"
"janeiro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.3","6.1","6.4"
"fevereiro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","106.13137","102.60372","106.39159"
"fevereiro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","116.93209","109.27696","117.06057"
"fevereiro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.2","-1.8","-0.4"
"fevereiro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","10.3","9.6","10.3"
"fevereiro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","9.6","8.7","9.7"
"fevereiro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.9","6.4","6.9"
"março 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","113.89996","108.96024","114.25199"
"março 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.13993","109.15878","117.85622"
"março 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.2","-0.1","0.7"
"março 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","1.3","3.3","1.2"
"março 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.6","6.8","6.6"
"março 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.6","6.2","6.6"
"abril 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","115.64141","105.84914","116.30005"
"abril 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.24728","109.92021","117.53628"
"abril 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.1","0.7","-0.3"
"abril 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","9.5","4.1","9.8"
"abril 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","7.3","6.2","7.4"
"abril 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.9","6.1","7.0"
"maio 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","119.39461","115.37074","119.69084"
"maio 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","118.12643","112.45185","118.64586"
"maio 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","2.3","0.9"
"maio 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","2.6","7.5","2.3"
"maio 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.3","6.4","6.3"
"maio 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.7","6.4","6.7"
"junho 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","120.34545","114.08356","120.78314"
"junho 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","119.60280","114.27873","119.86033"
"junho 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.2","1.6","1.0"
"junho 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","6.6","7.3","6.6"
"junho 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.4","6.6","6.3"
"junho 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.7","6.3","6.8"
"julho 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","126.43891","120.81948","126.83826"
"julho 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","120.19942","115.63930","120.49563"
"julho 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.5","1.2","0.5"
"julho 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","8.7","8.6","8.7"
"julho 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.7","6.9","6.7"
"julho 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.9","6.5","6.9"
"agosto 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","124.58390","120.65791","124.87581"
"agosto 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","118.80086","116.46219","118.95660"
"agosto 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.2","0.7","-1.3"
"agosto 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","1.9","8.6","1.5"
"agosto 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.0","7.1","6.0"
"agosto 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.5","6.6","6.5"
"setembro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","125.07010","115.80854","125.69863"
"setembro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","120.16405","115.16189","120.96781"
"setembro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.1","-1.1","1.7"
"setembro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","9.1","9.7","9.1"
"setembro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.4","7.4","6.3"
"setembro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.8","7.1","6.8"
"outubro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","126.34873","116.76316","126.99815"
"outubro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","116.98341","114.85603","116.96204"
"outubro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-2.6","-0.3","-3.3"
"outubro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","0.6","7.3","0.2"
"outubro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","5.7","7.4","5.6"
"outubro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","5.9","7.4","5.8"
"novembro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","112.08152","101.78122","112.77093"
"novembro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","109.76129","103.21530","110.33770"
"novembro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-6.2","-10.1","-5.7"
"novembro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.1","-4.6","-6.2"
"novembro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","4.6","6.3","4.5"
"novembro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","4.8","6.7","4.6"
"dezembro 2008","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","92.19722","89.82300","92.37975"
"dezembro 2008","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","97.67491","87.44510","98.21751"
"dezembro 2008","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-11.0","-15.3","-11.0"
"dezembro 2008","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-14.6","-21.3","-14.1"
"dezembro 2008","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","3.1","3.8","3.0"
"dezembro 2008","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","3.1","3.8","3.0"
"janeiro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","91.66715","89.97001","91.80679"
"janeiro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.72447","90.07341","100.44705"
"janeiro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.1","3.0","2.3"
"janeiro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-17.0","-18.4","-16.9"
"janeiro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-17.0","-18.4","-16.9"
"janeiro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","1.0","1.6","1.0"
"fevereiro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","88.63398","83.22350","89.00670"
"fevereiro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.04228","94.21184","102.52607"
"fevereiro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.3","4.6","2.1"
"fevereiro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-16.5","-18.9","-16.3"
"fevereiro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-16.8","-18.6","-16.6"
"fevereiro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-1.0","-0.6","-1.0"
"março 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","103.19096","97.54306","103.58383"
"março 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.51613","99.55299","102.65054"
"março 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.5","5.7","0.1"
"março 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-9.4","-10.5","-9.3"
"março 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-14.2","-15.9","-14.1"
"março 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-1.9","-1.8","-1.9"
"abril 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","99.31350","93.59560","99.70941"
"abril 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","103.88989","97.36603","104.39520"
"abril 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.3","-2.2","1.7"
"abril 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-14.1","-11.6","-14.3"
"abril 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-14.2","-14.8","-14.2"
"abril 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-3.8","-3.0","-3.8"
"maio 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","106.35166","98.93018","106.85750"
"maio 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","105.13483","97.86276","105.59320"
"maio 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.2","0.5","1.1"
"maio 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-10.9","-14.3","-10.7"
"maio 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-13.5","-14.7","-13.4"
"maio 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.9","-4.9","-4.9"
"junho 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.43047","103.26649","107.73128"
"junho 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","106.66694","102.64469","106.98806"
"junho 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.5","4.9","1.3"
"junho 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-10.7","-9.5","-10.8"
"junho 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-13.0","-13.8","-13.0"
"junho 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-6.4","-6.3","-6.4"
"julho 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","113.86257","108.41943","114.24633"
"julho 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","108.00533","102.83086","108.23679"
"julho 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.3","0.2","1.2"
"julho 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-9.9","-10.3","-9.9"
"julho 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-12.5","-13.2","-12.5"
"julho 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-7.9","-7.9","-7.9"
"agosto 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","116.10422","108.19334","116.64439"
"agosto 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","109.69820","102.62951","110.25846"
"agosto 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.6","-0.2","1.9"
"agosto 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.8","-10.3","-6.6"
"agosto 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-11.8","-12.8","-11.7"
"agosto 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.7","-9.5","-8.7"
"setembro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","115.87901","104.90370","116.61233"
"setembro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","111.19511","104.47625","111.81124"
"setembro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.4","1.8","1.4"
"setembro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-7.3","-9.4","-7.2"
"setembro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-11.3","-12.5","-11.2"
"setembro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-10.0","-11.0","-10.0"
"outubro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","123.07453","107.52755","124.09869"
"outubro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","113.67476","105.08613","114.30986"
"outubro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.2","0.6","2.2"
"outubro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.6","-7.9","-2.3"
"outubro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-10.3","-12.0","-10.2"
"outubro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-10.3","-12.2","-10.2"
"novembro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","118.13763","102.94317","119.13781"
"novembro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.09709","104.34470","115.77841"
"novembro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.3","-0.7","1.3"
"novembro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","5.4","1.1","5.6"
"novembro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-9.0","-10.9","-8.9"
"novembro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.4","-11.8","-9.3"
"dezembro 2009","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","109.62616","107.07231","109.82622"
"dezembro 2009","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.55464","104.76649","116.37453"
"dezembro 2009","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","0.4","0.5"
"dezembro 2009","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","18.9","19.2","18.9"
"dezembro 2009","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.1","-8.9","-7.0"
"dezembro 2009","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-7.1","-8.9","-7.0"
"janeiro 2010","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","106.28638","109.10737","106.14632"
"janeiro 2010","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.26321","110.64848","117.62161"
"janeiro 2010","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.5","5.6","1.1"
"janeiro 2010","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","15.9","21.3","15.6"
"janeiro 2010","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","15.9","21.3","15.6"
"janeiro 2010","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.8","-6.0","-4.7"
"fevereiro 2010","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","103.65597","100.53788","103.88948"
"fevereiro 2010","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.04734","111.68949","117.36570"
"fevereiro 2010","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.2","0.9","-0.2"
"fevereiro 2010","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","16.9","20.8","16.7"
"fevereiro 2010","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","16.4","21.0","16.2"
"fevereiro 2010","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-2.5","-3.2","-2.4"
"março 2010","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","122.44795","112.37959","123.12642"
"março 2010","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","119.77254","113.52854","120.07116"
"março 2010","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.3","1.6","2.3"
