"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"agosto 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"setembro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","95.68385","77.66715","96.85399"
"setembro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.76962","77.79355","93.62504"
"setembro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.6","0.2","0.2"
"setembro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"setembro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"setembro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"outubro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","103.92059","81.81241","105.35167"
"outubro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","93.15183","78.94081","94.04084"
"outubro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","1.5","0.4"
"outubro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"outubro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"outubro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"novembro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","97.75810","77.63629","99.06174"
"novembro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","93.03453","78.71646","93.96433"
"novembro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.1","-0.3","-0.1"
"novembro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"novembro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"novembro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"dezembro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","86.94687","74.07857","87.78926"
"dezembro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.77167","75.86209","93.85691"
"dezembro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.3","-3.6","-0.1"
"dezembro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"dezembro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"dezembro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"janeiro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","86.21006","79.43513","86.66795"
"janeiro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","93.05943","81.79960","93.68774"
"janeiro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.3","7.8","-0.2"
"janeiro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","2.2","9.8","1.8"
"janeiro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","2.2","9.8","1.8"
"janeiro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"fevereiro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","83.64805","73.60926","84.31084"
"fevereiro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.63526","82.28484","93.44095"
"fevereiro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.5","0.6","-0.3"
"fevereiro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","3.0","7.8","2.7"
"fevereiro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","2.6","8.8","2.2"
"fevereiro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"março 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","90.21116","83.28259","90.68017"
"março 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.41121","81.87378","93.37863"
